# rh_debias
,,point1,point2
TIMESTEP,time(day of year),MEAN(%),MEAN(%)
1980-01-01T00:00:00Z,0.0,55.569927,55.599205
1980-01-01T00:00:00Z,1.0,55.260227,49.15526
1980-01-01T00:00:00Z,2.0,49.707123,55.304615
1980-01-01T00:00:00Z,3.0,68.77831,70.30508
1980-01-01T00:00:00Z,4.0,84.89833,83.008835
1980-01-01T00:00:00Z,5.0,71.235916,72.191605
1980-01-01T00:00:00Z,6.0,63.48988,64.017296
1980-01-01T00:00:00Z,7.0,50.179726,39.75934
1980-01-01T00:00:00Z,8.0,43.407677,31.733406
1980-01-01T00:00:00Z,9.0,31.927696,33.94223
1980-01-01T00:00:00Z,10.0,34.8382,43.780403
1980-01-01T00:00:00Z,11.0,79.85475,80.28903
1980-01-01T00:00:00Z,12.0,82.285255,81.17005
1980-01-01T00:00:00Z,13.0,59.21225,63.294575
1980-01-01T00:00:00Z,14.0,80.22864,82.12892
1980-01-01T00:00:00Z,15.0,86.119286,81.39324
1980-01-01T00:00:00Z,16.0,86.55365,74.01157
1980-01-01T00:00:00Z,17.0,60.7644,52.11291
1980-01-01T00:00:00Z,18.0,46.57877,60.667595
1980-01-01T00:00:00Z,19.0,68.839355,82.678246
1980-01-01T00:00:00Z,20.0,78.89694,81.84238
1980-01-01T00:00:00Z,21.0,59.52129,63.874496
1980-01-01T00:00:00Z,22.0,65.45598,61.1283
1980-01-01T00:00:00Z,23.0,74.09068,71.12305
1980-01-01T00:00:00Z,24.0,62.419228,75.249756
1980-01-01T00:00:00Z,25.0,62.741188,64.5654
1980-01-01T00:00:00Z,26.0,66.777565,59.835743
1980-01-01T00:00:00Z,27.0,76.18363,66.404655
1980-01-01T00:00:00Z,28.0,68.17577,67.87949
1980-01-01T00:00:00Z,29.0,55.309673,44.89223
1980-01-01T00:00:00Z,30.0,46.613445,51.58555
1980-01-01T00:00:00Z,31.0,79.59598,79.107185
1980-01-01T00:00:00Z,32.0,76.230995,57.687805
1980-01-01T00:00:00Z,33.0,78.91067,72.39901
1980-01-01T00:00:00Z,34.0,76.522736,76.26245
1980-01-01T00:00:00Z,35.0,63.913513,78.706505
1980-01-01T00:00:00Z,36.0,37.060265,54.833694
1980-01-01T00:00:00Z,37.0,59.044434,53.97313
1980-01-01T00:00:00Z,38.0,70.13325,55.747524
1980-01-01T00:00:00Z,39.0,72.64935,69.44268
1980-01-01T00:00:00Z,40.0,80.59582,76.21304
1980-01-01T00:00:00Z,41.0,75.66356,79.35486
1980-01-01T00:00:00Z,42.0,63.64289,71.66205
1980-01-01T00:00:00Z,43.0,72.375046,68.14335
1980-01-01T00:00:00Z,44.0,68.077446,65.80391
1980-01-01T00:00:00Z,45.0,54.621487,58.14033
1980-01-01T00:00:00Z,46.0,68.81506,72.73834
1980-01-01T00:00:00Z,47.0,59.313637,57.692432
1980-01-01T00:00:00Z,48.0,62.92102,72.144264
1980-01-01T00:00:00Z,49.0,83.01638,83.657166
1980-01-01T00:00:00Z,50.0,63.35702,52.839962
1980-01-01T00:00:00Z,51.0,44.100014,33.801804
1980-01-01T00:00:00Z,52.0,74.10539,60.22578
1980-01-01T00:00:00Z,53.0,72.22585,66.743034
1980-01-01T00:00:00Z,54.0,65.20222,52.010696
1980-01-01T00:00:00Z,55.0,47.695168,42.407486
1980-01-01T00:00:00Z,56.0,80.54492,68.72296
1980-01-01T00:00:00Z,57.0,61.80656,70.25155
1980-01-01T00:00:00Z,58.0,64.58621,60.50623
1980-01-01T00:00:00Z,59.0,81.62341,55.577957
1980-01-01T00:00:00Z,60.0,64.71053,59.564785
1980-01-01T00:00:00Z,61.0,68.83488,72.44416
1980-01-01T00:00:00Z,62.0,78.919685,81.50607
