# Prcp
	Alabama	California	Connecticut	Idaho	Alabama	California	Connecticut	Idaho	Alabama	California	Connecticut	Idaho
TIMESTEP	MEAN(mm/d)	MEAN(mm/d)	MEAN(mm/d)	MEAN(mm/d)	MINIMUM(mm/d)	MINIMUM(mm/d)	MINIMUM(mm/d)	MINIMUM(mm/d)	VARIANCE(mm/d^2)	VARIANCE(mm/d^2)	VARIANCE(mm/d^2)	VARIANCE(mm/d^2)
1950-01-01T00:00:00Z	0.062405374	0.3453742	0.30065218	1.7298104	0.0	0.0	0.0	0.0	0.022810467	2.8270786	0.12066331	7.361454
1950-01-02T00:00:00Z	0.44680098	2.516318	1.9442391	1.3159418	0.0	0.0	0.43	0.0	2.4704397	15.6978035	0.551306	2.5998516
1950-01-03T00:00:00Z	1.7271551	0.7147988	2.9459782	0.46118206	0.0	0.0	1.08	0.0	7.410616	3.1613455	0.9518155	0.30052125
1950-01-04T00:00:00Z	4.3268256	0.3589056	0.7541304	1.0258723	0.0	0.0	0.0	0.0	49.50419	0.8548088	0.21589264	1.7627492
1950-01-05T00:00:00Z	18.847107	0.010221888	5.112609	1.4302465	0.0	0.0	0.75	0.0	769.48663	0.0054953233	6.561743	6.432878
1950-01-06T00:00:00Z	25.764908	0.0036517489	12.5118475	2.8522882	0.0	0.0	5.93	0.0	518.6649	0.0032813551	20.986183	36.149673
1950-01-07T00:00:00Z	8.194285	1.0641444	6.0966306	2.1833692	0.0	0.0	1.15	0.0	86.3158	18.126493	4.180152	42.36424
1950-01-08T00:00:00Z	0.07644688	11.72853	0.101304345	2.638938	0.0	0.0	0.0	0.0	0.11236988	184.93295	0.04399169	19.103764
1950-01-09T00:00:00Z	1.8929548	6.4757466	2.865652	3.2781732	0.0	0.0	0.0	0.0	6.663448	79.574776	6.6177588	14.087616
1950-01-10T00:00:00Z	13.285251	8.470451	10.345109	4.349406	0.1	0.0	5.55	0.0	40.893593	240.47256	6.3878517	26.750809
1950-01-11T00:00:00Z	8.966703	10.875186	3.7188044	3.798837	0.0	0.0	0.2	0.0	29.233639	142.25896	3.8788524	22.840635
1950-01-12T00:00:00Z	2.2699757	4.1627264	1.427826	2.8657205	0.0	0.0	0.03	0.0	18.804625	24.124584	0.9292568	13.502435
1950-01-13T00:00:00Z	4.6972284	3.5968862	4.787935	5.339589	0.0	0.0	0.68	0.0	32.556656	74.62644	4.742291	27.268312
1950-01-14T00:00:00Z	3.2661295	13.737333	1.638913	5.4415803	0.0	0.0	0.0	0.0	14.386526	265.63605	1.2468208	27.461073
1950-01-15T00:00:00Z	2.1210866	1.3218691	1.1666304	2.342263	0.0	0.0	0.0	0.0	6.727266	19.210445	0.8147874	8.190476
1950-01-16T00:00:00Z	4.761514	9.754377	0.7544565	4.6488624	0.0	0.0	0.0	0.0	18.539795	176.29292	0.25533268	17.721842
1950-01-17T00:00:00Z	3.0121734	17.482967	4.5707607	8.072118	0.0	0.0	1.02	0.0	12.148947	652.7827	2.8118994	51.087006
1950-01-18T00:00:00Z	2.4929304	9.049662	3.5081522	8.325202	0.0	0.0	1.65	0.0	21.525923	347.9215	2.0846746	38.633682
1950-01-19T00:00:00Z	3.4140294	0.6875179	0.0032608695	6.493192	0.0	0.0	0.0	0.0	24.464052	6.75952	1.5408504E-4	93.30158
1950-01-20T00:00:00Z	0.8579487	0.83543813	0.08978261	6.716397	0.0	0.0	0.0	0.0	1.3488853	7.7343273	0.01329226	88.804016
1950-01-21T00:00:00Z	0.08009768	5.345634	1.1534783	7.3197217	0.0	0.0	0.0	0.0	0.0461819	102.92422	0.7417878	71.14943
1950-01-22T00:00:00Z	0.043748476	3.3682663	1.8202174	8.142238	0.0	0.0	0.08	0.03	0.02317334	58.491077	2.1606572	50.00466
1950-01-23T00:00:00Z	0.26858363	6.4722037	1.7702174	8.202592	0.0	0.0	0.17	0.05	1.1047195	127.61951	1.6840879	31.389568
1950-01-24T00:00:00Z	0.5092796	3.1315947	4.9058695	1.6955816	0.0	0.0	1.48	0.0	2.13559	31.805384	1.5133102	5.1745267
1950-01-25T00:00:00Z	0.22372405	0.8540429	2.1489131	1.2015487	0.0	0.0	0.0	0.0	0.5560515	2.7487931	1.1782801	3.4924216
1950-01-26T00:00:00Z	4.9848228	0.10425348	1.4043478	4.3291783	0.0	0.0	0.38	0.0	42.086285	0.35531986	0.38633472	27.391571
1950-01-27T00:00:00Z	5.1837363	3.3885221	0.97086954	5.856087	0.0	0.0	0.15	0.0	32.617043	57.116745	0.32841024	40.27864
1950-01-28T00:00:00Z	0.8556288	10.4320345	2.9504347	2.9608533	0.0	0.0	0.12	0.0	1.7077813	177.12541	1.3004328	10.714483
1950-01-29T00:00:00Z	1.0730036	2.3025198	4.498587	0.19371049	0.0	0.0	1.77	0.0	5.447943	22.966768	2.9526584	0.14603321
1950-01-30T00:00:00Z	3.043419	1.5424633	5.2970653	0.54421616	0.0	0.0	2.53	0.0	104.59636	13.814522	1.6853682	0.87085587
1950-01-31T00:00:00Z	1.2396092	0.7541858	4.2788043	0.2677307	0.0	0.0	0.77	0.0	4.507631	3.8352108	2.2003646	0.26601794
1950-02-01T00:00:00Z	5.815519	0.02226401	2.6477175	0.13686472	0.0	0.0	0.38	0.0	83.373314	0.046006236	0.6104925	0.098309584
1950-02-02T00:00:00Z	8.81508	0.02518616	3.5923913	0.11848926	0.0	0.0	0.68	0.0	129.83096	0.05072091	1.8128183	0.3914146
1950-02-03T00:00:00Z	3.537619	2.4580142	0.75402176	3.6709104	0.0	0.0	0.0	0.0	22.251446	38.10366	0.30612102	18.342167
1950-02-04T00:00:00Z	0.046056166	20.412624	8.6956524E-4	9.466366	0.0	0.0	0.0	0.0	0.031836383	771.05273	3.6598183E-5	69.61125
1950-02-05T00:00:00Z	0.051257633	11.630981	0.66630435	6.522794	0.0	0.0	0.0	0.0	0.06752348	243.97621	0.6503994	29.857828
1950-02-06T00:00:00Z	3.5718682	17.19085	2.857826	4.7894754	0.0	0.0	1.58	0.0	28.2986	305.5108	0.44143918	23.575014
1950-02-07T00:00:00Z	7.599817	1.7687327	1.1872826	1.469646	0.0	0.0	0.0	0.0	95.882	19.348495	0.37042218	4.6028786
1950-02-08T00:00:00Z	5.1264467	0.14610004	3.2966304	1.2723325	0.0	0.0	0.45	0.0	28.53719	1.2896441	4.2134404	5.6048465
1950-02-09T00:00:00Z	18.573578	0.32665664	9.412283	0.72953856	0.75	0.0	2.33	0.0	119.517494	1.2680811	8.643658	1.6347224
1950-02-10T00:00:00Z	10.456556	6.3806434	4.1355433	1.6772503	0.0	0.0	0.17	0.0	47.566753	42.50545	3.9046953	2.9652884
1950-02-11T00:00:00Z	1.3472527	2.0321023	0.72815216	1.9825032	0.0	0.0	0.05	0.0	2.5274174	8.968152	1.5421097	5.695666
1950-02-12T00:00:00Z	2.0597925	0.035423093	0.5177174	0.8032238	0.0	0.0	0.0	0.0	21.483316	0.05072498	0.61798924	2.1922016
1950-02-13T00:00:00Z	12.456825	0.13525762	8.92587	1.6137358	0.0	0.0	1.15	0.0	170.10541	0.67323345	12.577018	8.673755
1950-02-14T00:00:00Z	10.345555	0.24642347	21.719238	0.43352085	0.0	0.0	10.23	0.0	228.54391	6.240762	14.808849	0.75949895
1950-02-15T00:00:00Z	0.11238095	0.23754044	14.102826	0.7449115	0.0	0.0	3.1	0.0	0.36080423	2.6800144	21.528141	2.1791725
1950-02-16T00:00:00Z	0.01006105	2.3703423	2.2796738	1.5001011	0.0	0.0	0.1	0.0	0.0061182114	33.102806	1.3962296	8.251876
1950-02-17T00:00:00Z	0.0037240537	0.23751034	0.07	0.4373641	0.0	0.0	0.0	0.0	9.31958E-4	0.56556505	0.031835165	0.5919703
1950-02-18T00:00:00Z	0.036068376	6.8822864E-4	0.16793478	0.035474084	0.0	0.0	0.0	0.0	0.05448428	2.5073008E-4	0.028368214	0.033991773
1950-02-19T00:00:00Z	0.06113553	0.0073260623	0.46086955	0.40905184	0.0	0.0	0.0	0.0	0.041896142	0.0063108685	0.06791791	0.69181454
1950-02-20T00:00:00Z	0.033333335	4.6257992E-4	0.12804347	1.142421	0.0	0.0	0.0	0.0	0.02447824	8.2893544E-5	0.017477449	4.1013637
1950-02-21T00:00:00Z	4.8050427	0.0010530275	1.9483695	1.0429772	0.0	0.0	0.22	0.0	12.479846	3.6006456E-4	1.1649237	4.8858523
